code;A43_1_1;A43_1_10;A43_1_11;A43_1_12;A43_1_13;A43_1_14;A43_1_15;A43_1_16;A43_1_17;A43_1_18;A43_1_2;A43_1_3;A43_1_4;A43_1_5;A43_1_6;A43_1_7;A43_1_8;A43_1_9;A43_2_1;A43_2_10;A43_2_11;A43_2_12;A43_2_13;A43_2_14;A43_2_15;A43_2_2;A43_2_3;A43_2_4;A43_2_5;A43_2_6;A43_2_7;A43_2_8;A43_2_9;A43_3_1;A43_3_10;A43_3_11;A43_3_12;A43_3_2;A43_3_3;A43_3_4;A43_3_5;A43_3_6;A43_3_7;A43_3_8;A43_3_9;A43_4_1;A43_4_10;A43_4_11;A43_4_12;A43_4_13;A43_4_2;A43_4_3;A43_4_4;A43_4_5;A43_4_6;A43_4_7;A43_4_8;A43_4_9;A43_5_1;A43_5_10;A43_5_2;A43_5_3;A43_5_4;A43_5_5;A43_5_6;A43_5_7;A43_5_8;A43_5_9;A43_7_1;A43_7_10;A43_7_11;A43_7_12;A43_7_13;A43_7_14;A43_7_15;A43_7_16;A43_7_17;A43_7_18;A43_7_2;A43_7_3;A43_7_4;A43_7_5;A43_7_6;A43_7_7;A43_7_8;A43_7_9;erkennbar43.1.103050.max;theorie.r.43.1;LaengeKommentar.43.1;anz.komm.43.1;theorie.r.43.2;LaengeKommentar.43.2;anz.komm.43.2;theorie.r.43.7;LaengeKommentar.43.7;anz.komm.43.7;erkennbar43.3.103050.max;theorie.r.43.3;LaengeKommentar.43.3;anz.komm.43.3;theorie.r.43.4;LaengeKommentar.43.4;anz.komm.43.4;theorie.r.43.5;LaengeKommentar.43.5;anz.komm.43.5;T1.RefBer2.5;T1.RefBer2.6;T1.RefBer2.7;T1.RefBer2.8;T1.RefBer2.9;T2.RefBer2.5;T2.RefBer2.6;T2.RefBer2.7;T2.RefBer2.8;T2.RefBer2.9;T1.int.1;T1.int.2;T1.int.3;T1.int.4;T1.int.5;T1.int.6;T2.int.1;T2.int.2;T2.int.3;T2.int.4;T2.int.5;T2.int.6;T1.knstr.1;T1.knstr.2;T1.knstr.3;T1.knstr.4;T1.knstr.5;T1.knstr.6;T2.knstr.1;T2.knstr.2;T2.knstr.3;T2.knstr.4;T2.knstr.5;T2.knstr.6;nfc.1;nfc.2;nfc.3u;nfc.4u;nfc.5u;nfc.6u;nfc.7u;nfc.8;nfc.9;nfc.10u;T1.anstrT.1;T1.anstrT.2;T1.anstrT.3;T1.anstrT.4;T2.anstrT.1;T2.anstrT.2;T2.anstrT.3;T2.anstrT.4;alter;geschl..;semester;unterrichtet;T1.theorietexte;T2.theorietexte;T1.wiss.praev.Wert;T1.wiss.bez.Wert;T2.wiss.praev.Wert;T2.wiss.bez.Wert;T1.RefBer1;T1.RefBer2;T1.anstrS;T1.anstrT;T1.knstr;nfc;T1.ind.wert.util;T1.ind.wert.cost;T1.int;T2.RefBer1;T2.RefBer2;T2.anstrS;T2.anstrT;T2.knstr;anwesend;T2.ind.wert.util;T2.ind.wert.cost;T2.int;seminartyp;seminar;llm;medium;doz_pass;doz_gef;A43_1;A43_2;A43_7;A43_3;A43_4;A43_5;anwesend_z;anz_T1;anz_T2;laeng_T1;laeng_T2;coglo1.b1;coglo2.b1;coglo3.b1;coglo4.b1;coglo5.b1;grund1.b1;grund2.b1;grund3.b1;mot1.b1;mot2.b1;mot3.b1;mot4.b1;mot5.b1;mot6.b1;mot7.b1;mot8.b1;mot9.b1;mot10.b1;mot11.b1;mot12.b1;mot13.b1;mot14.b1;coglo1.b2;coglo2.b2;coglo3.b2;coglo4.b2;coglo5.b2;grund1.b2;grund2.b2;grund3.b2;mot1.b2;mot2.b2;mot3.b2;mot4.b2;mot5.b2;mot6.b2;mot7.b2;mot8.b2;mot9.b2;mot10.b2;mot11.b2;mot12.b2;mot13.b2;mot14.b2;coglo1.b3;coglo2.b3;coglo3.b3;coglo4.b3;coglo5.b3;immers1.b3;immers2.b3;immers3.b3;immers4.b3;immers5.b3;immers6.b3;immers7.b3;reso1.b3;reso2.b3;grund1.b3;grund2.b3;grund3.b3;mot1.b3;mot2.b3;mot3.b3;mot4.b3;mot5.b3;mot6.b3;mot7.b3;mot8.b3;mot9.b3;mot10.b3;mot11.b3;mot12.b3;mot13.b3;mot14.b3;mot3.b1.u;mot3.b3.u;mot11.b1.u;mot11.b3.u;mot4.b1.u;mot7.b1.u;mot10.b1.u;mot13.b1.u;mot4.b3.u;mot7.b3.u;mot10.b3.u;mot13.b3.u
aadl22;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;233.5;2;0;394;1;0;339;1;NA;NA;NA;0;NA;NA;0;NA;NA;0;3;4;4;4;4;NA;NA;NA;NA;NA;3;2;1;3;3;3;NA;NA;NA;NA;NA;NA;3;4;4;4;4;4;NA;NA;NA;NA;NA;NA;3;6;7;3;7;7;7;1;1;7;1;1;1;1;NA;NA;NA;NA;20;2;2;0;1;NA;3;1;NA;NA;4.5;3.8;166.666.666.666.667;1;383.333.333.333.333;4.9;3;3;2.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;12;1;1;4;4;2.5;2;2;NA;NA;NA;NA;133.333.333.333.333;0;322.166.666.666.667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;7;8;7;7;2;2;3;2;3;3;2;1;4;2;1;9;3;7;1;1;3;6;1;3;3;1;1;4;2;3;NA;7;NA;7;NA;NA;NA;NA;7;7;7;6
aala11;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;2;1;1;1;1;NA;NA;NA;2;NA;NA;NA;1;1;1;1;NA;NA;NA;NA;1;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;2;2;NA;NA;0;0;1260;1;0.166666667;117.166.666.666.667;6;0.142857143;988.571.428.571.429;7;2;0.6;179.6;5;1;205.5;2;0.333333333;906.666.666.666.667;3;3;3;4;4;4;2;3;3;3;3;3;2;1;2;3;3;3;2;2;3;3;2;3;3;2;3;3;3;3;3;3;3;3;4;5;6;4;4;6;6;6;2;3;7;3;3;3;3;3;3;3;3;20;1;2;1;0;3;NA;NA;3;2;3.75;3.6;166.666.666.666.667;3;283.333.333.333.333;4.9;3;2;233.333.333.333.333;3;2.8;2;3;316.666.666.666.667;2;3;2;2.5;1;15;1;1;6;6;3;116.666.666.666.667;142.857.142.857.143;1.2;1.5;1;0.225548902;466.666.666.666.667;333.333.333.333.333;492.007.936.507.937;158.588.888.888.889;2;6;6;7;6;7;1;5;6;7;1;1;6;2;2;6;6;1;1;2;1;2;2;2;2;4;3;9;1;1;2;1;7;7;2;3;7;2;2;7;7;5;7;5;1;4;4;4;4;4;2;2;3;1;1;1;4;2;8;1;1;6;7;1;1;5;5;1;5;7;1;1;3;1;2;7;7;7;7;7;6;7;7;7;7;7;7
aala4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;NA;0;3;0;83;1;NA;NA;0;0;94;1;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;4;4;3;3;3;3;3;3;2;3;6;6;2;3;3;3;3;6;6;2;2;3;3;3;3;3;3;3;24;2;2;0;0;0;1;1;0;1;4;3.4;3;2.75;333.333.333.333.333;4;3;3;3;4.75;3;233.333.333.333.333;3;283.333.333.333.333;2;3;2.5;266.666.666.666.667;3;16;1;0;5;5;NA;NA;NA;2;NA;1;0.225548902;0;0.666666667;NA;88.5;2;2;2;4;4;9;1;7;5;7;1;3;5;4;1;5;1;1;1;4;1;1;3;3;3;5;4;7;3;5;4;7;1;1;5;3;1;5;4;1;1;4;1;1;4;3;3;4;3;3;2;3;2;1;1;1;3;3;7;3;5;4;7;1;1;5;3;1;5;4;1;1;4;1;1;7;7;7;7;5;7;7;7;7;7;7;7
aale2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;490;2;0;527;1;0;526;1;NA;NA;NA;0;NA;NA;0;NA;NA;0;3;4;3;4;4;NA;NA;NA;NA;NA;2;2;2;2;3;3;NA;NA;NA;NA;NA;NA;2;3;3;3;4;3;NA;NA;NA;NA;NA;NA;6;5;5;2;4;3;5;5;4;4;2;3;3;3;NA;NA;NA;NA;23;2;2;10;0;0;2;3;NA;NA;3.5;3.6;166.666.666.666.667;2.75;3;4.3;3.5;2;233.333.333.333.333;NA;NA;NA;NA;NA;2;NA;NA;NA;3;3;1;0;6;6;3;3;3;NA;NA;NA;0.225548902;133.333.333.333.333;0;514.333.333.333.333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
aals3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;0;528.8;5;0;1201;1;NA;NA;0;3;0.333333333;371;3;NA;NA;0;NA;NA;0;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;3;4;3;2;3;3;3;3;3;2;3;4;2;3;2;2;3;3;2;4;4;4;2;4;4;6;5;5;5;3;4;4;3;4;4;4;3;20;1;2;0;0;0;3;1;4;2;4.5;4;3;3.5;283.333.333.333.333;4.3;3.5;4;3;3.75;4;3;3.75;2.5;2;3;4;3;3;20;1;0;3;3;2.8;3;NA;266.666.666.666.667;NA;NA;0.225548902;2;1;864.9;371;3;7;7;7;7;6;6;7;6;5;4;5;5;5;5;6;5;5;5;3;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;3;NA;3;3;3;3;NA;NA;NA;NA
aals30;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;NA;NA;NA;NA;NA;3;0;284;4;0;834;2;0;365;4;3;1;824;1;1;704;1;1;624;1;3;3;3;3;4;3;3;2;3;4;3;2;1;3;3;3;3;2;2;3;3;3;4;4;3;3;4;4;3;3;3;3;3;3;6;6;6;4;6;6;6;5;4;6;2;2;3;3;2;2;2;3;23;1;4;24;0;0;NA;NA;NA;NA;4.5;3.2;1;2.5;366.666.666.666.667;5.5;2.5;2.5;2.5;3.5;3;233.333.333.333.333;2.25;3;1;2.5;2;266.666.666.666.667;3;7;1;0;6;6;1.5;3;1.75;3;3;3;-0.774451098;333.333.333.333.333;1;494.333.333.333.333;717.333.333.333.333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;6;5;6;5;3;3;4;4;1;1;1;3;2;7;4;5;5;5;6;4;6;5;1;6;7;1;2;4;1;5;NA;2;NA;6;NA;NA;NA;NA;4;7;7;7
aalt18;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;NA;NA;NA;NA;NA;NA;3;0;517.5;2;0;563;1;0;420;3;1;0;882;1;0;390;2;0;364;1;3;3;3;4;4;2;4;3;4;4;3;2;2;3;3;3;3;NA;1;3;2;3;4;3;3;4;4;4;4;4;4;4;4;4;7;6;2;6;7;7;7;4;4;6;2;2;2;2;2;2;1;1;21;1;2;12;0;0;1;3;2;3;4.5;3.4;233.333.333.333.333;2;366.666.666.666.667;5.6;3.5;3;266.666.666.666.667;3.75;3.4;3;1.5;4;1;3.5;2;2.4;4;1;0;0;6;6;3;3;266.666.666.666.667;3;3;3;-0.774451098;2;133.333.333.333.333;500.166.666.666.667;545.333.333.333.333;8;2;2;7;7;7;2;8;5;5;2;3;4;6;1;3;3;3;3;5;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;5;NA;5;7;5;7;NA;NA;NA;NA
aang20;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;2;2;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;1;NA;NA;NA;NA;3;0;571.666.666.666.667;3;0;433;3;0;287.4;5;NA;NA;NA;0;0;260;3;0;583;1;3;3;3;4;4;3;3;3;3;3;3;3;2;3;3;3;3;2;2;2;2;3;2;1;3;2;4;3;3;3;3;2;3;3;4;4;3;4;3;5;2;3;4;6;2;3;3;3;3;3;3;3;20;1;2;8;0;0;2;2;2;1;4.75;3.4;133.333.333.333.333;2.75;2.5;3.8;3.5;2.5;283.333.333.333.333;4;3;1;3;283.333.333.333.333;1;3;2.5;233.333.333.333.333;3;10;1;0;4;3;3;233.333.333.333.333;1.6;NA;2;3;-0.774451098;366.666.666.666.667;133.333.333.333.333;430.688.888.888.889;421.5;4;7;6;7;8;6;1;1;4;5;3;4;4;5;2;5;4;3;1;4;4;3;NA;5;7;8;7;5;1;3;4;6;2;5;4;6;2;6;5;2;1;4;3;3;3;7;7;7;7;3;2;3;3;2;1;1;3;3;7;1;1;4;6;1;1;4;5;4;6;6;6;1;5;4;3;5;7;7;7;4;6;5;4;7;4;2;4
aanp18;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;122;1;0;115;1;0;79;1;NA;NA;NA;0;0;163;1;0;122;1;4;3;3;2;2;3;3;2;3;4;2;2;3;3;3;3;3;3;3;2;2;2;2;3;3;2;3;3;3;3;2;2;3;3;4;4;5;3;7;5;5;5;5;4;3;3;3;3;3;2;2;3;21;1;2;0;1;1;0;1;1;1;2.5;2.8;2;3;266.666.666.666.667;4.7;3;3;266.666.666.666.667;3.5;3;166.666.666.666.667;2.5;266.666.666.666.667;1;2;2;2.5;4;1;0;0;6;6;1;1;1;NA;2;2;-0.774451098;1;0.666666667;105.333.333.333.333;142.5;7;3;5;8;6;3;4;6;3;7;2;3;4;4;6;6;3;6;2;7;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;NA;6;NA;5;2;2;4;NA;NA;NA;NA
aans3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;NA;NA;NA;NA;NA;NA;0;0;266.333.333.333.333;3;0;164.333.333.333.333;6;NA;NA;NA;0;0;165.5;2;0;261;1;3;4;3;4;4;2;3;3;3;4;4;2;1;3;3;2;3;1;2;3;2;3;3;3;2;3;3;4;3;3;2;2;2;3;3;5;3;2;4;4;5;2;2;6;2;3;3;2;3;3;3;2;20;1;2;2;0;1;1;3;2;1;4.25;3.6;233.333.333.333.333;2.5;3;3.6;3;3;2.5;3.75;3;3;2.75;2.5;2;3.5;4;233.333.333.333.333;2;9;0;1;2;4;NA;1;1;NA;1;3;0.225548902;3;1;215.333.333.333.333;213.25;4;5;5;6;5;7;4;3;6;4;2;5;6;6;5;5;5;5;1;6;3;4;4;4;4;5;6;6;3;2;3;4;4;3;3;2;3;3;4;3;5;5;5;6;3;4;5;5;6;4;4;3;3;2;1;1;4;4;8;4;5;5;5;2;4;5;5;2;4;3;2;3;5;2;3;6;6;7;5;3;3;3;5;4;6;6;6
